tag,collection_year,collection_month,collection_date,broodstock,set_date,distribution_date,total_live,clumps,shell_height_mm,organization,Site,,,,,,,,,,,,,,,shell_height_mm
,2016,5,5/12/16,MB,7/6/15,,,6,16,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,13,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,6,14,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,13,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,16,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,14,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,13,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,18,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,23,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,11,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,14,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,23,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,7,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,12,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,18,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,10,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,12,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,8,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,8,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,9,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,9,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,16,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,12,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,13,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,12,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,10,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,24,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,14,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,10,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,17,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,16,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,23,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,16,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,10,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,8,11,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,24,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,35,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,20,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,18,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,15,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,22,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,9,25,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,10,23,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,10,10,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,10,30,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,10,42,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,10,14,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,5,5/12/16,MB,7/6/15,,,10,21,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
,2016,8,8/8/16,MB,7/13/15,,,1,45,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,
